Time (sec),2025-12-07 (Water temp: 19C [indoor]),2025-12-08 (Water temp: 3C),2026-02-14 (Water temp: 4C),2026-02-22 (Water temp: 4C),2026-03-21 (Water temp: 7C),2026-03-27 (Water temp: 25C [indoor]),2026-04-04 (Water temp: 9C),2026-04-08 (Water temp: 10C),2026-05-23 (Water temp: 17C / 11C),2026-05-25 (Water temp: 18C / 14C),2026-05-30 (Water temp: 22C / 13C)
0,0,0,0,0,0,0,0,0,0,0,0
2,-1,-1.1,-1.5,-1.8,-1.7,-1,-1,-1.6,-1,-1.5,-1
4,-2,-1.6,-2.9,-3,-3,-1.2,-1.8,-2.6,-2.4,-2.2,-1.7
6,-3,-2.6,-3.9,-4.1,-4.5,-2.6,-2.9,-3.6,-3.3,-3.2,-2.4
8,-3.7,-2.7,-4.2,-4.6,-5.2,-3.2,-3.9,-4.6,-4.5,-3.7,-2.3
10,-4,-2.8,-5.1,-5.8,-6.5,-3.5,-4.7,-5.6,-5.4,-4.9,-2.8
12,-5,-4,-7,-7.4,-7.8,-4.7,-5.2,-6.6,-6.8,-6.2,-3.6
14,-6,-4,-8.2,-9,-9.6,-6.4,-7.2,-7.6,-8.4,-7.5,-4.1
16,-7,-4.6,-9.3,-10.3,-11.4,-6.9,-7.9,-9,-9.5,-8.9,-4.9
18,-7.5,-5.1,-11.2,-11.8,-13.2,-7.4,-8.8,-10.3,-10.7,-10,-5.5
20,-8,-5.9,-12.6,-13,-14.8,-8.3,-10.6,-11.6,-12.4,-10.6,-5.8
22,-8.4,-6.4,-13.2,-12.8,-15.3,-9.2,-11.6,-13,-13.8,-11.5,-6.5
24,-8.4,-6.9,-13.5,-11.7,-14.6,-10.2,-13.3,-14.9,-15.4,-12.2,-7.6
26,-8.4,-8.1,-13.4,-10.5,-13.5,-11.4,-14.8,-15,-16.7,-12.8,-8.4
28,-8.4,-8.5,-12.3,-9.5,-12.4,-12.7,-16.1,-15.1,-17.8,-12.7,-9.4
30,-8.4,-8.4,-10.8,-8.2,-11.3,-13.8,-17.3,-15.4,-19.4,-13,-9.5
32,-8.4,-8,-9.7,-6.8,-10.3,-15.1,-18.6,-15.9,-20.9,-12.7,-9.6
34,-8.4,-8.3,-9.1,-5.1,-9.3,-16.4,-19.8,-16.1,-21.9,-12.2,-10.4
36,-8.4,-8.7,-7.3,-3.4,-8.4,-17.7,-21.1,-16.2,-22.4,-12.2,-10.7
38,-8.5,-8.8,-6.5,-1.5,-7.2,-19.1,-22.4,-16.2,-21.9,-11.8,-11.2
40,-8.5,-8.5,-5.3,0,-6,-20,-23.2,-16.7,-21.9,-11.5,-11.6
42,-8.5,-8.2,-3.7,,-4.6,-19.5,-23.2,-16.3,-21.6,-11.1,-12
44,-8.5,-7.3,-2,,-3.3,-19.4,-23.1,-16.1,-21.2,-11,-12.3
46,-8.5,-6.1,0,,-1.9,-18.4,-23.2,-16,-20,-11,-12.7
48,-8.4,-5,,,0,-16.8,-23,-16,-18.3,-11,-13.2
50,-8,-3.6,,,,-15,-22.6,-15.9,-16.9,-11,-13.7
52,-7,-2.3,,,,-14.4,-21.5,-16,-15.7,-11,-14.3
54,-5.6,0,,,,-12.1,-20.4,-16.2,-13.2,-10.5,-15
56,-3.5,,,,,-11.3,-19.2,-15.5,-11.9,-9,-16.2
58,-2.8,,,,,-9.3,-18.1,-14.7,-9.3,-7.3,-17.3
60,0,,,,,-7.9,-16.9,-13.3,-7.6,-5.7,-18.2
62,,,,,,-6.5,-15.8,-12,-5.8,-4.2,-18.6
64,,,,,,-4.7,-14.7,-10.5,-3.2,-2.3,-18.2
66,,,,,,-4.1,-13.5,-8.8,-1.4,0,-17.8
68,,,,,,-1.5,-12.2,-7,0,,-16.4
70,,,,,,0,-11.2,-5.1,,,-13.9
72,,,,,,,-10,-2.5,,,-12.3
74,,,,,,,-8.8,0,,,-10.7
76,,,,,,,-7.4,,,,-8.8
78,,,,,,,-5.8,,,,-7
80,,,,,,,-4.3,,,,-5
82,,,,,,,-2.6,,,,-3
84,,,,,,,0,,,,0